Id,WnvPresent
1,1.094796454084097e-05
2,1.1319550821500561e-05
3,1.0964437685287245e-05
4,1.0619441475736666e-05
5,1.062691581685282e-05
6,1.063439541862052e-05
7,1.0641880284742227e-05
8,1.0649370418923153e-05
9,8.228838238111508e-06
10,8.510640816550924e-06
11,8.241220734136496e-06
12,7.979560545659273e-06
13,7.985177209751389e-06
14,7.990797827277186e-06
15,7.99642240101935e-06
16,8.002050933762545e-06
17,1.2482516085145119e-05
18,1.2914728698718915e-05
19,1.2501299498775015e-05
20,1.2099938801824152e-05
21,1.2108455783967251e-05
22,1.2116978761025409e-05
23,1.2125507737218258e-05
24,1.2134042716768414e-05
25,4.877155263474281e-06
26,5.050262871704021e-06
27,4.8844922665799475e-06
28,4.723707667325767e-06
29,4.7270316350361085e-06
30,4.7303579417372976e-06
31,4.733686589075237e-06
32,4.737017578696944e-06
33,4.818234416415431e-06
34,4.991818542137098e-06
35,4.82548218933084e-06
36,4.664238919501244e-06
37,4.66752075408027e-06
38,4.670804897800865e-06
39,4.674091352287722e-06
40,4.677380119166761e-06
41,5.077904410614781e-06
42,5.263326131978867e-06
43,5.085542368394083e-06
44,4.913290206775143e-06
45,4.916747074634462e-06
46,4.920206374647382e-06
47,4.923668108525107e-06
48,4.927132277980027e-06
49,4.849977566721925e-06
50,5.0284815320874245e-06
51,4.857273179889712e-06
52,4.69144191643728e-06
53,4.694742935483009e-06
54,4.698046277199573e-06
55,4.701351943221305e-06
56,4.704659935183643e-06
57,6.035945807968202e-06
58,6.259586520081225e-06
59,6.045026257151321e-06
60,5.837257881416833e-06
61,5.841365529883247e-06
62,5.845476068863924e-06
63,5.849589500392911e-06
64,5.853705826505635e-06
65,3.997703321667868e-06
66,4.14781594902678e-06
67,4.003717105837333e-06
68,3.864251947884995e-06
69,3.866971036286834e-06
70,3.8696920379731e-06
71,3.872414954290077e-06
72,3.875139786584997e-06
73,8.649545270819975e-06
74,8.984625076287742e-06
75,8.662550507037838e-06
76,8.351216498518264e-06
77,8.357089783606817e-06
78,8.36296719925401e-06
79,8.368848748364647e-06
80,8.374734433845775e-06
81,5.0989084283623294e-06
82,5.295432272247397e-06
83,5.106577852418687e-06
84,4.923984086676722e-06
85,4.9274484172349655e-06
86,4.930915185154245e-06
87,4.934384392149395e-06
88,4.937856039936427e-06
89,7.638200365106412e-06
90,7.939439334206962e-06
91,7.649685700974843e-06
92,7.36979642343081e-06
93,7.3749798429244645e-06
94,7.380166908060063e-06
95,7.385357621401755e-06
96,7.390551985515335e-06
97,8.11126824641054e-06
98,8.433918342799333e-06
99,8.123465368095911e-06
100,7.82368608723582e-06
101,7.82918895821234e-06
102,7.834695699660042e-06
103,7.840206314301195e-06
104,7.845720804860044e-06
105,3.8247474261957915e-06
106,3.976596949144858e-06
107,3.830500505777369e-06
108,3.689415920395708e-06
109,3.6920117318850472e-06
110,3.694609369737283e-06
111,3.697208835237418e-06
112,3.6998101296713345e-06
113,1.0508169962749326e-05
114,1.092198513845737e-05
115,1.0523982871924915e-05
116,1.013950665611876e-05
117,1.014664393159492e-05
118,1.0153786231002216e-05
119,1.0160933557877043e-05
120,1.016808591575812e-05
121,4.981050796242833e-06
122,5.179799813142678e-06
123,4.988545892717733e-06
124,4.803890637346129e-06
125,4.807271893960279e-06
126,4.8106555304873105e-06
127,4.814041548602347e-06
