,Date,Tmax,Tmin,Tavg,Depart,DewPoint,Heat,Cool,Sunrise,Sunset,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed,Humidity,Daylength,CodeSum
0,2007-05-01,28.61111111111111,10.555555555555555,19.72222222222222,14.0,10.555555555555555,0.0,2.5,448.0,1849.0,0.0,0.0,29.14,29.82,2.2,26.0,9.399999999999999,55.5,841.0,
1,2007-05-02,15.277777777777779,5.833333333333333,10.833333333333332,-3.0,5.555555555555555,13.5,0.0,447.0,1850.0,0.0,0.0,29.41,30.085,13.15,3.0,13.4,70.0,843.0,HZ BR
2,2007-05-03,19.166666666666664,8.333333333333334,13.88888888888889,2.0,4.444444444444445,8.0,0.0,445.5,1851.0,0.0,0.0,29.425,30.12,12.3,6.5,12.55,53.0,845.5,HZ
3,2007-05-04,22.22222222222222,10.0,16.25,4.0,5.277777777777778,7.0,0.0,444.0,1852.0,0.0,0.0025,29.335,30.045,10.25,7.5,10.600000000000001,48.5,848.0,RA
4,2007-05-05,18.88888888888889,11.944444444444443,15.555555555555555,5.0,3.611111111111111,5.0,0.0,443.0,1853.0,0.0,0.005,29.43,30.095,11.45,7.0,11.75,45.0,850.0,
5,2007-05-06,20.0,10.277777777777779,15.277777777777779,4.0,-1.1111111111111112,5.5,0.0,442.0,1854.5,0.0,0.0,29.595,30.285,14.100000000000001,10.5,14.75,32.5,852.5,
6,2007-05-07,28.61111111111111,9.166666666666668,18.888888888888886,10.0,4.444444444444445,0.0,1.0,440.5,1855.5,0.0,0.0025,29.41,30.12,8.55,17.5,10.2,38.5,855.0,RA
7,2007-05-08,27.22222222222222,13.88888888888889,20.555555555555557,12.0,14.166666666666668,0.0,4.0,439.0,1856.5,0.0,0.0025,29.325,30.025,2.6,9.5,5.6,66.5,857.5,HZ BR
8,2007-05-09,24.72222222222222,16.666666666666664,20.833333333333336,13.0,15.277777777777779,0.0,4.5,438.0,1858.0,0.0,0.075,29.245,29.935000000000002,3.9,8.0,6.050000000000001,70.5,860.0,HZ BR
9,2007-05-10,28.61111111111111,14.166666666666668,21.38888888888889,14.0,11.11111111111111,0.0,5.5,437.0,1859.0,0.0,0.0,29.23,29.915,1.35,13.0,4.0,52.0,862.0,HZ BR
10,2007-05-11,21.944444444444443,10.0,16.11111111111111,4.0,6.111111111111111,4.0,0.0,436.0,1880.0,0.0,0.0,29.36,30.035,11.5,19.5,12.850000000000001,52.0,864.0,
11,2007-05-12,18.055555555555557,8.055555555555555,13.055555555555557,-2.0,2.5,9.5,0.0,435.0,1901.0,0.0,0.0,29.515,30.195,12.55,2.0,12.95,49.0,866.0,
12,2007-05-13,20.555555555555557,6.388888888888889,13.61111111111111,-2.0,0.2777777777777778,8.5,0.0,434.0,1902.0,0.0,0.0,29.52,30.24,6.5,12.5,7.85,40.5,868.0,
13,2007-05-14,32.22222222222222,12.777777777777779,22.5,15.0,7.777777777777779,0.0,7.5,433.0,1903.0,0.0,0.0,29.27,29.975,15.5,21.0,15.95,39.0,870.0,
14,2007-05-15,27.22222222222222,13.61111111111111,20.555555555555557,11.0,13.333333333333334,0.0,4.0,432.0,1904.0,0.0,0.49,29.16,29.835,8.1,26.0,11.55,63.0,872.0,RA TSRA BR
15,2007-05-16,18.333333333333336,6.944444444444445,12.777777777777779,-4.0,5.833333333333333,10.0,0.0,431.0,1905.0,0.0,0.10500000000000001,29.36,30.03,7.9,36.0,12.0,62.5,874.0,RA BR
16,2007-05-17,16.38888888888889,6.388888888888889,11.666666666666666,-6.0,0.0,12.0,0.0,430.0,1906.0,0.0,0.0,29.585,30.27,11.1,2.0,11.75,45.0,876.0,
17,2007-05-18,21.38888888888889,5.833333333333333,13.88888888888889,-3.0,-0.8333333333333334,8.0,0.0,429.0,1907.0,0.0,0.0,29.565,30.255000000000003,4.4,23.5,6.5,36.5,878.0,
18,2007-05-19,26.666666666666668,13.333333333333334,20.0,8.0,3.333333333333333,0.0,3.0,428.0,1908.0,0.0,0.0,29.375,30.08,11.1,23.5,11.4,33.5,880.0,
19,2007-05-20,20.555555555555557,6.388888888888889,13.61111111111111,-5.0,4.722222222222222,8.5,0.0,427.0,1909.0,0.0,0.09,29.41,30.11,9.5,3.5,10.2,55.0,882.0,RA VCTS TSRA
20,2007-05-21,26.38888888888889,7.222222222222222,16.944444444444443,1.0,10.0,2.5,0.0,426.0,1910.0,0.0,0.0,29.36,30.055,6.3,10.5,8.0,64.0,884.0,
21,2007-05-22,30.555555555555557,14.166666666666668,22.5,10.0,7.222222222222222,0.0,7.5,425.0,1911.0,0.0,0.0,29.375,30.055,10.05,17.0,10.399999999999999,37.5,886.0,
22,2007-05-23,31.666666666666668,17.22222222222222,24.72222222222222,14.0,9.166666666666668,0.0,11.5,424.5,1911.5,0.0,0.0,29.43,30.1,11.15,18.5,11.5,37.5,887.0,
23,2007-05-24,31.11111111111111,18.055555555555557,24.72222222222222,14.0,11.944444444444443,0.0,11.5,424.0,1912.5,0.0,0.0125,29.439999999999998,30.105,14.350000000000001,20.5,16.25,44.5,888.5,RA HZ
24,2007-05-25,20.0,13.61111111111111,16.944444444444443,1.0,7.222222222222222,2.5,0.0,423.0,1913.5,0.0,0.0475,29.54,30.235,4.7,5.0,8.5,53.0,890.5,RA BR
25,2007-05-26,19.72222222222222,9.722222222222221,14.722222222222221,-5.0,12.777777777777779,6.5,0.0,422.0,1914.5,0.0,0.645,29.39,30.105,2.65,16.0,7.5,88.5,892.5,BR RA TSRA HZ
26,2007-05-27,23.88888888888889,14.444444444444445,19.166666666666664,4.0,8.88888888888889,0.0,1.5,422.0,1915.5,0.0,0.06,29.375,30.055,8.55,25.0,9.35,51.0,893.5,RA BR
